book_name,price,stock_num,reviews_num
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,19,0
It's Only the Himalayas,45.17,19,0
Olio,23.88,19,0
Set Me Free,17.46,19,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,0
Libertarianism for Beginners,51.33,19,0
Rip it Up and Start Again,35.02,19,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,19,0
Shakespeare's Sonnets,20.66,19,0
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,0
The Black Maria,52.15,19,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,19,0
The Requiem Red,22.65,19,0
The Dirty Little Secrets of Getting Your Dream Job,33.34,19,0
Sapiens: A Brief History of Humankind,54.23,20,0
You can't bury them all: Poems,33.63,17,0
Maude (1883-1993):She Grew Up with the country,18.02,18,0
Behind Closed Doors,52.22,18,0
"In a Dark, Dark Wood",19.63,18,0
Penny Maybe,33.29,18,0
Sophie's World,15.94,18,0
The Bear and the Piano,36.89,18,0
The Elephant Tree,23.82,18,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,18,0
The Four Agreements: A Practical Guide to Personal Freedom,17.66,18,0
Wall and Piece,44.18,18,0
Worlds Elsewhere: Journeys Around Shakespeareï¿½ï¿½s Globe,40.30,18,0
Birdsong: A Story in Pictures,54.64,19,0
Aladdin and His Wonderful Lamp,53.13,19,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,19,0
Black Dust,34.53,19,0
Chase Me (Paris Nights #2),25.27,19,0
How Music Works,37.32,19,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,19,0
In Her Wake,12.84,19,0
Sharp Objects,47.82,20,0
Tipping the Velvet,53.74,20,0
Soumission,50.10,20,0
The Natural History of Us (The Fine Art of Pretending #2),45.22,16,0
The Past Never Ends,56.50,16,0
The Secret of Dreadwillow Carse,56.13,16,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,16,0
The Torch Is Passed: A Harding Family Story,19.09,16,0
Thirst,17.27,16,0
This One Summer,19.49,16,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,16,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,16,0
Unicorn Tracks,18.78,16,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,16,0
Untitled Collection: Sabbath Poems 2014,14.27,16,0
Without Borders (Wanderlove #1),45.07,16,0
When We Collided,31.77,16,0
"We Love You, Charlie Freeman",50.27,16,0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,17,0
Private Paris (Private #10),47.61,17,0
Reasons to Stay Alive,26.41,17,0
Slow States of Collapse: Poems,57.31,17,0
A Light in the Attic,51.77,22,0book_name,price,stock_num,reviews_num
Tipping the Velvet,53.74,20,0
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,19,0
Libertarianism for Beginners,51.33,19,0
A Light in the Attic,51.77,22,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,19,0
It's Only the Himalayas,45.17,19,0
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,0
Shakespeare's Sonnets,20.66,19,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,19,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,0
The Black Maria,52.15,19,0
Set Me Free,17.46,19,0
The Dirty Little Secrets of Getting Your Dream Job,33.34,19,0
Sapiens: A Brief History of Humankind,54.23,20,0
Sharp Objects,47.82,20,0
The Requiem Red,22.65,19,0
Rip it Up and Start Again,35.02,19,0
Olio,23.88,19,0
Soumission,50.10,20,0
Behind Closed Doors,52.22,18,0
"In a Dark, Dark Wood",19.63,18,0
Sophie's World,15.94,18,0
The Bear and the Piano,36.89,18,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,18,0
You can't bury them all: Poems,33.63,17,0
The Four Agreements: A Practical Guide to Personal Freedom,17.66,18,0
Penny Maybe,33.29,18,0
Wall and Piece,44.18,18,0
Worlds Elsewhere: Journeys Around Shakespeare¡¯s Globe,40.30,18,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,19,0
The Elephant Tree,23.82,18,0
Birdsong: A Story in Pictures,54.64,19,0
Black Dust,34.53,19,0
Chase Me (Paris Nights #2),25.27,19,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,19,0
How Music Works,37.32,19,0
Aladdin and His Wonderful Lamp,53.13,19,0
The Past Never Ends,56.50,16,0
The Secret of Dreadwillow Carse,56.13,16,0
Thirst,17.27,16,0
The Torch Is Passed: A Harding Family Story,19.09,16,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,16,0
Unicorn Tracks,18.78,16,0
This One Summer,19.49,16,0
The Natural History of Us (The Fine Art of Pretending #2),45.22,16,0
Maude (1883-1993):She Grew Up with the country,18.02,18,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,16,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,16,0
Untitled Collection: Sabbath Poems 2014,14.27,16,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16,0
"We Love You, Charlie Freeman",50.27,16,0
When We Collided,31.77,16,0
Without Borders (Wanderlove #1),45.07,16,0
